									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-11_Job	5887.654825	5717.219862	170.434963	5887.654825	4288.900495	1598.75433						
adcenter.bicore	AdMetrix_Rollup_-_2014-02-14-12_Job	11806.3528	11465.47549	340.877311	11806.3528	8608.829549	3197.52325						
adcenter.bicore	AdMetrix_UBBPacingAlerts_-_2014-02-13-00_Job	5.477712	0.292414	5.185298	5.477712	0.175243	5.302469						
adcenter.bicore	AdMetrix_UBBPacingAlerts_-_2014-02-14-00_Job	5.464428	0.277112	5.187316	5.464428	0.164485	5.299943						
adcenter.bicore	AdQualitySapience_C2CAdsSapience_20140212	8285736.043	4683717.01	3602019.033	8285736.043	4283126.844	4002609.198						
adcenter.bicore	AdQualitySapience_C2CAdsSapience_20140213	8336015.252	4705473.24	3630542.011	8336015.252	4315844.294	4020170.958						
adcenter.bicore	AdQualitySapience_C2COrderItemsSapience_20140212	26064853.85	16457461.05	9607392.797	26064853.85	14133383.41	11931470.44						
adcenter.bicore	AdQualitySapience_C2COrderItemsSapience_20140213	22980823.76	13646906.2	9333917.558	22980823.76	13589314.88	9391508.879						
adcenter.bicore	AdQualitySapience_E2CAdExtensionSapience_20140212	42711.77372	24532.755	18179.01873	42711.77372	24088.35622	18623.4175						
adcenter.bicore	AdQualitySapience_E2CAdExtensionSapience_20140213	413462.6278	27192.39219	386270.2356	413462.6278	146252.1304	267210.4974						
adcenter.bicore	AdQualitySapience_E2CAssetSapience_20140212	743601.722	629721.9795	113879.7425	743601.722	522328.7617	221272.9603						
adcenter.bicore	AdQualitySapience_E2CAssetSapience_20140213	699978.3925	585524.9207	114453.4718	699978.3925	500103.5638	199874.8287						
